Player,draft_year,overall_pick,second_contract_year,second_contract_salary,career_ppg,career_rpg,career_apg,career_ws,career_bpm,career_vorp,sc_age,sc_ppg,sc_rpg,sc_apg,sc_games,salary_cap_pct,pick_tier
John Wall,2010,1,2014,7459925,19.1,4.3,9.1,44.1,2.4,24.0,23,19.3,4.1,8.8,82,12.713108607849485,Top 5
Evan Turner,2010,2,2014,6679867,9.7,4.6,3.5,20.2,-1.9,0.5,25,14.0,5.0,3.2,81,11.383743758414425,Top 5
Derrick Favors,2010,3,2014,6008196,10.6,7.1,1.1,60.2,0.9,14.0,22,13.3,8.7,1.2,73,10.239090645716525,Top 5
Wesley Johnson,2010,4,2014,884293,7.0,3.2,1.1,10.7,-1.6,1.2,26,9.1,4.4,1.6,79,1.5070008009679785,Top 5
DeMarcus Cousins,2010,5,2014,4916974,19.6,10.2,3.0,46.8,2.4,21.6,23,22.7,11.7,2.9,71,8.3794440941393,Top 5
Ekpe Udoh,2010,6,2014,4469548,3.5,2.9,0.7,10.4,-1.4,0.8,26,3.4,3.5,0.7,42,7.616946437396684,6–10
Greg Monroe,2010,7,2014,4086454,13.0,8.2,2.1,50.4,1.4,15.3,23,15.2,9.3,2.1,82,6.964082550827383,6–10
Al-Farouq Aminu,2010,8,2014,3749602,7.5,6.0,1.2,27.6,-0.6,6.5,23,7.2,6.2,1.4,80,6.390023688201913,6–10
Gordon Hayward,2010,9,2014,3452183,15.6,4.5,3.5,60.1,2.0,22.8,23,16.2,5.1,5.2,77,5.883166038957719,6–10
Paul George,2010,10,2014,3282003,20.4,6.4,3.6,76.6,4.1,38.0,23,21.7,6.8,3.5,80,5.593147463317371,6–10
Cole Aldrich,2010,11,2014,884293,3.1,3.3,0.5,9.6,0.1,1.8,25,2.0,2.8,0.3,46,1.5070008009679785,11–15
Xavier Henry,2010,12,2014,884293,5.7,1.9,0.6,0.8,-4.4,-1.7,22,10.0,2.7,1.2,43,1.5070008009679785,11–15
Ed Davis,2010,13,2014,3153860,5.9,6.4,0.7,43.3,-0.2,6.2,24,5.7,4.1,0.4,63,5.3747678044956455,11–15
Patrick Patterson,2010,14,2014,3105302,6.7,3.9,1.0,31.9,0.0,7.4,24,8.5,5.3,1.2,65,5.292015883024591,11–15
Larry Sanders,2010,15,2014,3053368,6.4,5.7,0.7,10.3,-1.1,1.1,25,7.7,7.2,0.8,23,5.203510625607117,11–15
Luke Babbitt,2010,16,2014,387995,4.8,2.2,0.6,7.2,-2.1,-0.1,24,6.3,3.3,1.1,27,0.6612161079773002,16–20
Eric Bledsoe,2010,18,2014,2626474,13.7,3.9,4.7,46.1,1.6,18.8,24,17.7,4.7,5.5,43,4.476003340206888,16–20
Avery Bradley,2010,19,2014,2511432,11.0,2.8,1.7,17.2,-2.4,-1.8,23,14.9,3.8,1.4,60,4.279950237734113,16–20
Elliot Williams,2010,22,2014,797545,4.9,1.5,0.9,0.7,-4.9,-1.1,24,6.0,1.9,1.1,67,1.3591659707902315,21–30
