Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,PF,24,NYK,9,2,20.4,2.3,4.8,0.488,0.0,0.3,0.0,2.3,4.4,0.6,1.4,0.385,2.4,1.8,4.2,0.6,0.4,1.3,0.4,2.2,5.2
2,Bam Adebayo,C,26,MIA,5,5,38.4,9.6,19.4,0.495,0.4,2.0,0.2,9.2,17.4,3.0,4.2,0.714,2.2,7.2,9.4,3.8,0.4,0.0,1.6,3.0,22.6
3,Nickeil Alexander-Walker,SG,25,MIN,16,1,23.6,2.6,7.0,0.366,1.5,5.1,0.296,1.1,1.9,0.6,0.6,1.0,0.3,1.4,1.8,2.3,0.6,0.4,0.9,1.5,7.3
7,Kyle Anderson,PF,30,MIN,15,1,15.4,1.7,3.8,0.456,0.1,0.5,0.25,1.6,3.3,0.7,0.8,0.833,1.2,1.5,2.7,2.5,0.7,0.3,0.7,1.7,4.3
9,Cole Anthony,PG,23,ORL,7,0,14.7,1.9,5.9,0.317,0.3,1.9,0.154,1.6,4.0,1.1,1.3,0.889,0.3,1.9,2.1,1.3,0.6,0.1,0.7,2.3,5.1
10,OG Anunoby,SF,26,NYK,9,9,36.0,6.2,12.3,0.505,1.8,4.3,0.41,4.4,8.0,0.9,1.4,0.615,0.8,5.2,6.0,1.1,0.9,1.0,1.1,1.7,15.1
11,Paolo Banchero,PF,21,ORL,7,7,37.4,9.7,21.3,0.456,2.3,5.7,0.4,7.4,15.6,5.3,7.0,0.755,2.0,6.6,8.6,4.0,1.1,0.6,4.6,2.0,27.0
12,Nicolas Batum,PF,35,PHI,6,0,28.3,2.0,4.8,0.414,1.5,3.7,0.409,0.5,1.2,0.8,1.3,0.625,1.5,4.3,5.8,1.3,0.2,0.8,0.8,2.2,6.3
14,Malik Beasley,SG,27,MIL,6,2,21.8,3.5,6.8,0.512,1.8,4.2,0.44,1.7,2.7,0.0,0.0,0.0,0.2,2.3,2.5,0.7,0.7,0.0,0.5,1.5,8.8
16,Patrick Beverley,PG,35,MIL,6,6,35.0,2.7,6.5,0.41,0.7,1.8,0.364,2.0,4.7,2.2,2.5,0.867,0.7,2.7,3.3,5.5,1.0,0.7,1.0,2.7,8.2
23,Christian Braun,SG,22,DEN,12,0,17.0,1.9,4.5,0.426,0.3,1.5,0.222,1.6,3.0,0.9,1.3,0.688,0.8,1.9,2.7,0.8,0.2,0.4,0.1,1.5,5.1
24,Oshae Brissett,SF,25,BOS,10,0,5.5,0.6,1.1,0.545,0.2,0.2,1.0,0.4,0.9,0.2,0.4,0.5,0.3,1.1,1.4,0.0,0.3,0.2,0.1,0.2,1.6
25,Jaylen Brown,SF,27,BOS,19,19,37.2,9.2,17.8,0.516,1.9,5.8,0.327,7.3,12.1,3.6,5.4,0.66,1.2,4.8,5.9,3.3,1.2,0.6,2.7,2.7,23.9
26,Kendall Brown,SG,20,IND,7,0,3.6,0.3,0.9,0.333,0.0,0.0,0.0,0.3,0.9,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.0,0.1,0.4,0.3,0.6
28,Jalen Brunson,PG,27,NYK,13,13,39.8,11.6,26.2,0.444,2.0,6.5,0.31,9.6,19.7,7.2,9.2,0.775,0.6,2.7,3.3,7.5,0.8,0.2,2.7,2.0,32.4
30,Alec Burks,SG,32,NYK,6,0,20.2,4.2,8.3,0.5,2.0,4.7,0.429,2.2,3.7,4.5,5.3,0.844,0.7,2.7,3.3,1.0,0.2,0.2,0.0,1.0,14.8
31,Kentavious Caldwell-Pope,SG,30,DEN,12,12,35.0,2.8,7.2,0.395,1.5,4.6,0.327,1.3,2.6,0.9,0.9,1.0,0.4,2.5,2.9,2.6,1.4,0.4,0.8,3.1,8.1
32,Wendell Carter Jr.,C,24,ORL,7,5,26.4,2.7,6.7,0.404,1.0,3.6,0.28,1.7,3.1,1.1,1.6,0.727,1.3,5.0,6.3,1.3,0.7,0.6,0.7,2.9,7.6
33,Amir Coffey,SF,26,LAC,6,3,18.7,1.2,3.7,0.318,0.5,1.8,0.273,0.7,1.8,0.0,0.0,0.0,0.3,1.3,1.7,0.3,0.3,0.2,0.8,1.0,2.8
34,Mike Conley,PG,36,MIN,15,15,31.6,4.1,9.7,0.428,2.0,5.1,0.395,2.1,4.6,1.3,1.9,0.714,0.7,3.2,3.9,5.7,1.4,0.2,1.3,2.5,11.6
35,Pat Connaughton,SF,31,MIL,6,0,20.7,1.8,4.2,0.44,0.5,1.8,0.273,1.3,2.3,0.3,0.3,1.0,0.5,3.3,3.8,2.2,1.0,0.2,0.5,1.0,4.5
38,Anthony Davis,C,30,LAL,5,5,41.6,11.8,18.6,0.634,0.0,1.0,0.0,11.8,17.6,4.2,5.2,0.808,3.0,12.6,15.6,4.0,0.4,1.6,2.2,3.8,27.8
41,Spencer Dinwiddie,PG,30,LAL,5,0,14.6,1.0,2.8,0.357,0.4,1.6,0.25,0.6,1.2,0.6,1.2,0.5,0.2,1.2,1.4,1.6,0.4,0.2,0.2,1.4,3.0
42,Donte DiVincenzo,SG,27,NYK,13,13,35.8,6.2,14.7,0.419,3.5,8.2,0.425,2.7,6.5,2.0,2.3,0.867,1.0,3.0,4.0,2.6,1.2,0.9,1.2,2.2,17.8
